id	negated	value
110971460	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
110973153	\0	< 185823004 |Finding of skin texture (finding)| MINUS <<  366649008 |Finding of thickness of skin (finding)|
110973154	\0	< 185823004 |Finding of skin texture (finding)|
110973155		<<  366649008 |Finding of thickness of skin (finding)|
110973156		<< 297947008 |Finding of consistency of skin (finding)|
110973157		<< 20795001 |Structure of skin region (body structure)|
110981253	\0	<185823004 |Finding of skin texture (finding)| MINUS (<<366649008 | Finding of thickness of skin (finding) | OR <<64572001 | Disease (disorder) | OR <<20795001 |Structure of skin region (body structure)| OR <<297947008 |Finding of consistency of skin (finding)| OR <<276323006 |Finding of color of skin (finding)| OR <<297971001 | Finding of sensation of skin (finding) |)
11103351	\0	<< 252741004
11103733	\0	<<268850004 | Neonatal diarrhea (disorder) |
11103734	\0	<<83134002 | Dietetic diarrhea (disorder) |
11103735	\0	<<19213003 | Infectious diarrheal disease (disorder) |
11103736	\0	<<703406006 | Trichohepatoenteric syndrome (disorder) |
11103740	\0	<<15699003 | Secretory diarrhea (disorder) |
11103741	\0	<<43240000 | Diarrhea of presumed infectious origin (disorder) |
11103742	\0	<<235839006 | Irritable bowel syndrome variant of childhood with diarrhea (disorder) |
11103743	\0	<<301469002 | Antibiotic-associated diarrhea (disorder) |
11103744	\0	<<25319005 | Chronic diarrhea of infants AND/OR young children (disorder) |
11103745	\0	<<19213003 | Infectious diarrheal disease (disorder) |
11103746	\0	<<95545007 | Hemorrhagic diarrhea (disorder) |
11103747	\0	<<95544006 | Inflammatory diarrhea (disorder) |
11103748	\0	<<2919008 | Nausea, vomiting and diarrhea (disorder) |
11103749	\0	<<721615009 | Non-infective neonatal diarrhea (disorder) |
11103750	\0	<<69980003 | Non-infective diarrhea (disorder) |
11103901	\0	<<49237006 | Allergic diarrhea (disorder) |
11103902	\0	<<90392009 | Nocturnal muscle spasm (finding) |
11103903	\0	<<298685005 | Named sign of spine (finding) |
11103904	\0	<<75140002 | Carpopedal spasm (finding) |
11103905	\0	<<12820001 | Disorder of sacrum (disorder) |
11103906	\0	<<22209005 | Paravertebral muscle spasm (finding) |
11103907	\0	<<203095000 | Spasm of back muscles (finding) |
11103908	\0	<<427178000 | Spasm of piriformis muscle (finding) |
11103909	\0	<<433203006 | Spasm of cervical paraspinous muscle (finding) |
11103910	\0	<<444920009 | Spasm of skeletal muscle of thorax (finding) |
11103911	\0	<<298272002 | Finding of appearance of skeletal muscle (finding) |
11103912	\0	<<55300003 | Cramp (finding) |
11103913	\0	<<366725004 | Finding of muscle tone (finding) |
11103914	\0	<<271708004 | Finding of power of skeletal muscle (finding) |
11103915	\0	<<298287007 | Finding of sensation of skeletal muscle (finding) |
11103916	\0	<<33921000119100 | Mass in muscle of limb (finding) |
11103917	\0	<<62330004 | Decreased muscle function (finding) |
11103918	\0	<<66277009 | Denervation (finding) |
11103919	\0	<<102543005 | Abnormally decreased muscle contraction (finding) |
11103920	\0	<<111954003 | Abnormally increased muscle contraction (finding) |
11103921	\0	<<81202007 | Absent muscle function (finding) |
11103922	\0	<<88316009 | Increased muscle function (finding) |
11103923	\0	<<118949002 | Procedure on extremity (procedure) |
11103924	\0	<<386510005 | Amputation care (regime/therapy) |
11103925	\0	406080008 | College of American Pathologists Cancer Checklist; Rhabdomyosarcoma and Related Neoplasms: Excision, Local or Wide; Compartmentectomy; Excision, Radical; Amputation; Other (record artifact) |
11103926	\0	<<408654003 | Specimen obtained by amputation (specimen) |
11103927	\0	<<12535006 | Acquired absence (morphologic abnormality) |
11103928	\0	<<263629008 | Type of amputation (attribute) |
11103929	\0	<<280115004 | Acquired body structure (body structure) |
11103930	\0	<<127584007 | Adjustment of stabilizing device (procedure) |
11103931	\0	<<70201003 | Traction removal (procedure) |
11103932	\0	<<370862004 | Verifying presence of prosthetics (procedure) |
11103933	\0	<<423444004 | Procedure involving splint (procedure) |
11103934	\0	<<385699009 | Maintenance of immobilizer (procedure) |
11103935	\0	<<274483006 | Brace removal (procedure) |
11103936	\0	<<178710007 | Revision to closed reduction spinal fracture and skull traction stabilization (procedure) |
11103937	\0	<<439236000 | Provision of adaptation to foot orthosis (procedure) |
11103938	\0	<<406080008 | College of American Pathologists Cancer Checklist; Rhabdomyosarcoma and Related Neoplasms: Excision, Local or Wide; Compartmentectomy; Excision, Radical; Amputation; Other (record artifact)|
11103939	\0	<<31965002 | Prosthetic evaluation for artificial limb fitting (procedure) |
11103940	\0	<<303624006 | Musculoskeletal device (physical object) |
11103941	\0	<<1579007 | Surgical drill, device (physical object) |
11103942	\0	<<463892005 | Orthopedic broach (physical object) |
11103943	\0	<<702933008 | Orthopedic clinic (environment) |
11103944	\0	<<463341009 | Orthopedic chisel (physical object) |
11103945	\0	<<22731001 | Orthopedic surgeon (occupation) |
11103946	\0	<<463946006 | Orthopedic rongeur (physical object) |
11103947	\0	<<118666003 | Procedure on musculoskeletal system (procedure) |
11103948	\0	<<310161006 | Orthopedic service (qualifier value) |
11103949	\0	<<183545006 | Referral to orthopedic service (procedure) |
11103950	\0	<<463386007 | Orthopedic scissors (physical object) |
111226503	\0	<738778005 |Intraoperative complication (disorder)|
11125451	\0	<<83756009 | Orthopedic domiciliary visit done (finding) |
11125452	\0	<<394801008 | Trauma and orthopedics (qualifier value) |
11125453	\0	<<463213007 | Orthopedic retractor (physical object) |
11125454	\0	<<423204009 | Orthopedic assessment (procedure) |
11125455	\0	<<59169001 | Orthopedic technician (occupation) |
11125456	\0	<<309989009 | Orthopedic department (environment) |
11125457	\0	<<463255003 | Orthopedic bone washer (physical object) |
11125458	\0	<<463328005 | Orthopedic x-ray ruler (physical object) |
11125459	\0	463188001 | Orthopedic reamer handle (physical object) |
11125460	\0	<<185252009 | Seen in orthopedic clinic (finding) |
11125461	\0	<<463280003 | Orthopedic cement spatula (physical object) |
11125462	\0	<<463627008 | Orthopedic cement curette (physical object) |
11125463	\0	<<700784006 | Orthopedic bender, manual (physical object) |
11125464	\0	<<308278001 | Footwear worker (occupation) |
11125465	\0	<<183727009 | Orthopedic domiciliary visit requested (finding) |
11125466	\0	<<701195002 | Casting stand, orthopedic (physical object) |
11125467	\0	<<164503006 | Orthopedic examination not done (situation) |
11125468	\0	463350006 | Orthopedic implant inserter/extractor (physical object) |
